1000, 3000
14, 999
262, 138, 1.2
263, 240, 0
264, 186, 2.6
265, 222, 1.6
266, 261, 7.8
267, 151, 4.6
268, 266, 4.7
269, 40, 5.1
270, 73, 3.1
271, 242, 5.7
272, 110, 1.2
273, 1, 1.4
274, 62, 1.2
275, 129, 1.2
276, 61, 1
277, 274, 8.9
278, 109, 5.5
279, 132, 2
280, 88, 8.7
281, 98, 3.8
282, 214, 7
283, 207, 5.6
284, 96, 0.6
285, 92, 4.9
286, 31, 0.5
287, 172, 1.7
288, 255, 4.5
289, 60, 7.3
290, 177, 7.3
291, 97, 8.9
292, 6, 0.7
293, 4, 5.7
294, 207, 7.1
295, 179, 0
296, 270, 1.8
297, 219, 2.5
298, 283, 7.4
299, 275, 5.7
300, 258, 9.3
301, 278, 7
302, 111, 1.7
303, 169, 6.9
304, 250, 2.2
305, 277, 7.3
306, 64, 3.1
307, 97, 8.2
308, 127, 9.2
309, 81, 5.7
310, 17, 2.1
311, 45, 7.4
312, 55, 4.7
313, 197, 3.1
314, 132, 3.7
315, 125, 5.4
316, 177, 9.8
317, 30, 8.1
318, 4, 1.6
319, 55, 3.1
320, 124, 9.6
321, 118, 3.8
322, 313, 1.8
323, 209, 7
324, 147, 1.2
325, 60, 7.7
326, 140, 3.6
327, 9, 7.6
328, 327, 0.7
329, 276, 5.7
330, 171, 9.9
331, 44, 2.7
332, 148, 3.6
333, 38, 1.8
334, 129, 6.3
335, 156, 4.4
336, 62, 0.5
337, 117, 9.1
338, 0, 5.5
339, 43, 8.9
340, 298, 9.3
341, 102, 0.5
342, 154, 2.2
343, 5, 1.7
344, 206, 9.3
345, 148, 2.6
346, 81, 8.6
347, 116, 4.3
348, 177, 1.4
349, 316, 7.9
350, 25, 6.2
351, 246, 8.8
352, 268, 1
353, 301, 9.4
354, 161, 4.6
355, 111, 3.7
356, 203, 5.3
357, 143, 7.3
358, 23, 2.5
359, 261, 1
360, 36, 1.7
361, 12, 6.3
362, 4, 9
363, 165, 3
364, 265, 7.1
365, 80, 3.3
366, 21, 8.9
367, 41, 0.4
368, 354, 0.5
369, 125, 6.8
370, 46, 8.5
371, 98, 9.5
372, 284, 4.9
373, 362, 6.7
374, 127, 6.3
375, 231, 9.6
376, 232, 6.5
377, 25, 3.6
378, 252, 7
379, 146, 1.1
380, 256, 3.2
381, 117, 7.9
382, 246, 7
383, 146, 7.2
384, 232, 3.4
385, 182, 8.3
386, 84, 9.8
387, 134, 6.3
388, 302, 5
389, 140, 7.3
390, 282, 5.9
391, 330, 4.7
392, 59, 8.2
393, 313, 3.2
394, 137, 5.4
395, 36, 9.8
396, 346, 4
397, 106, 5.9
398, 207, 6.2
399, 7, 4.1
400, 324, 2.3
401, 245, 7.2
402, 321, 5.4
403, 20, 2.1
404, 331, 6.5
405, 251, 7.1
406, 134, 6.9
407, 14, 0.1
408, 389, 5.3
409, 307, 0.7
410, 56, 2.8
411, 111, 9.7
412, 372, 8.4
413, 284, 3.4
414, 330, 9.1
415, 190, 9.8
416, 19, 5.2
417, 335, 8.9
418, 414, 0.6
419, 287, 1.6
420, 219, 0.9
421, 282, 0
422, 283, 0.9
423, 391, 8.1
424, 365, 3.8
425, 292, 2.6
426, 73, 4.7
427, 4, 8.7
428, 350, 3.2
429, 81, 8.1
430, 139, 5
431, 382, 9
432, 75, 5
433, 379, 1.3
434, 295, 9.4
435, 288, 8.1
436, 321, 2
437, 58, 8.2
438, 233, 8.7
439, 354, 9.6
440, 82, 0.4
441, 204, 9.2
442, 240, 9.7
443, 197, 3.4
444, 427, 0.6
445, 238, 5.7
446, 211, 9.5
447, 175, 6.2
448, 192, 8.3
449, 184, 5.4
450, 87, 0.9
451, 270, 3.2
452, 182, 2.1
453, 232, 6.3
454, 229, 8.2
455, 176, 8.5
456, 370, 8.5
457, 67, 9
458, 46, 1.4
459, 139, 1.6
460, 45, 9.2
461, 245, 2.8
462, 414, 2.5
463, 176, 3.6
464, 155, 1.8
465, 58, 3.7
466, 91, 8.2
467, 403, 1
468, 389, 8.8
469, 430, 1.5
470, 173, 3.7
471, 137, 0.8
472, 398, 8.3
473, 345, 5.7
474, 192, 2.7
475, 371, 6.9
476, 357, 5.1
477, 129, 1
478, 274, 3.9
479, 211, 8.8
480, 417, 9.3
481, 455, 9
482, 210, 9.9
483, 299, 3.1
484, 383, 7.7
485, 291, 5.7
486, 277, 5.2
487, 2, 4.1
488, 394, 6.8
489, 336, 8.4
490, 125, 7.6
491, 204, 6.6
492, 52, 5.4
493, 269, 0.8
494, 113, 7.8
495, 292, 5.5
496, 29, 7.4
497, 8, 0
498, 73, 9.7
499, 346, 1.2
500, 421, 8.2
501, 466, 9.3
502, 130, 3.9
503, 321, 2.1
504, 405, 8.5
505, 271, 5.4
506, 122, 6.2
507, 376, 4.1
508, 194, 5.2
509, 220, 6.2
510, 297, 9.9
511, 482, 5.4
512, 234, 1.5
513, 288, 5.1
514, 405, 9
515, 217, 9.1
516, 125, 3.7
517, 76, 5.9
518, 60, 7.1
519, 197, 8.7
520, 381, 9
521, 402, 7
522, 373, 6.5
523, 246, 6.9
524, 119, 6.1
525, 287, 5.1
526, 436, 0
527, 261, 3.8
528, 225, 6.4
529, 484, 3.2
530, 295, 0.4
531, 475, 7.9
532, 178, 1.2
533, 104, 6.9
534, 20, 7
535, 380, 4.4
536, 54, 4.9
537, 0, 6.5
538, 320, 2.6
539, 341, 8.3
540, 55, 6.9
541, 459, 5.2
542, 66, 9.3
543, 353, 8.9
544, 241, 3.1
545, 425, 6.4
546, 363, 4.8
547, 40, 7.7
548, 462, 3.3
549, 401, 4.9
550, 293, 5.5
551, 464, 6.8
552, 45, 6
553, 550, 2.3
554, 440, 7.1
555, 250, 7.7
556, 121, 4.5
557, 263, 6.1
558, 280, 2.3
559, 420, 0
560, 284, 7.5
561, 275, 4.2
562, 405, 5.9
563, 51, 8.9
564, 218, 6.9
565, 141, 5.1
566, 243, 8.3
567, 23, 3.3
568, 236, 0.4
569, 527, 8.1
570, 491, 6.6
571, 4, 6.7
572, 429, 9.2
573, 5, 0.2
574, 238, 3.1
575, 282, 7.4
576, 96, 1.8
577, 124, 8.3
578, 12, 8.7
579, 287, 7.3
580, 345, 6.2
581, 523, 3.3
582, 534, 9.6
583, 289, 4.1
584, 562, 2.6
585, 468, 8
586, 242, 8.5
587, 123, 0.5
588, 587, 2.9
589, 573, 9.8
590, 554, 6.2
591, 189, 1.9
592, 102, 4.1
593, 509, 1
594, 95, 2.6
595, 250, 8.9
596, 495, 0.8
597, 592, 3.8
598, 121, 9.3
599, 165, 1
600, 90, 0.5
601, 342, 1.3
602, 224, 3.8
603, 147, 2.1
604, 535, 2.9
605, 548, 8
606, 139, 9.5
607, 295, 2.4
608, 226, 5.4
609, 81, 6.9
610, 170, 6.9
611, 601, 7.3
612, 119, 3.3
613, 401, 8.7
614, 207, 9.4
615, 11, 9.9
616, 160, 3.9
617, 475, 4.2
618, 523, 8.6
619, 51, 4.9
620, 381, 8.6
621, 590, 1.1
622, 437, 3.3
623, 517, 2.2
624, 395, 7.3
625, 492, 1.9
626, 560, 5.4
627, 586, 2.4
628, 579, 5.9
629, 22, 1.8
630, 169, 1.2
631, 579, 0.5
632, 543, 3.3
633, 295, 3.4
634, 321, 1.5
635, 43, 8.7
636, 38, 6.9
637, 532, 8.7
638, 480, 3.7
639, 462, 8.9
640, 120, 0.5
641, 282, 0.4
642, 617, 5.7
643, 225, 0.3
644, 313, 9.2
645, 160, 2.2
646, 465, 4.3
647, 507, 6.1
648, 519, 7.8
649, 567, 0
650, 237, 8.2
651, 15, 9.9
652, 250, 8.9
653, 494, 5.3
654, 276, 4.8
655, 46, 3.6
656, 316, 0.7
657, 5, 1.7
658, 552, 2.1
659, 479, 8
660, 414, 9.4
661, 175, 2.3
662, 634, 3.3
663, 503, 1.7
664, 257, 3.1
665, 430, 0.9
666, 296, 5.6
667, 282, 6.9
668, 130, 9.5
669, 560, 7.1
670, 669, 6.9
671, 650, 0.1
672, 299, 5.2
673, 632, 4
674, 388, 4.3
675, 189, 9.1
676, 526, 2.7
677, 487, 7.8
678, 202, 5
679, 152, 2.4
680, 226, 1.3
681, 493, 9.9
682, 438, 9.4
683, 600, 1.5
684, 299, 4.2
685, 638, 3.7
686, 178, 9.8
687, 109, 3.9
688, 207, 1.3
689, 440, 2.8
690, 521, 0.4
691, 414, 4.6
692, 561, 3.8
693, 509, 9.5
694, 100, 2.1
695, 129, 2.6
696, 205, 5.8
697, 474, 5.6
698, 550, 4.5
699, 137, 4.6
700, 583, 1.1
701, 269, 0.3
702, 188, 2.5
703, 7, 1.6
704, 176, 7.4
705, 210, 9.6
706, 62, 6.7
707, 174, 1.3
708, 320, 1.9
709, 405, 5
710, 76, 3.2
711, 485, 7.9
712, 115, 5.3
713, 234, 9.5
714, 627, 0.7
715, 610, 3.7
716, 232, 7.6
717, 455, 8.4
718, 398, 8.3
719, 112, 9.2
720, 520, 9.6
721, 433, 3.9
722, 84, 3.5
723, 176, 7.3
724, 687, 6.4
725, 199, 5.1
726, 260, 5.1
727, 126, 3.9
728, 426, 6.5
729, 452, 0.2
730, 231, 7.9
731, 248, 4.7
732, 175, 8.4
733, 294, 6.1
734, 601, 3.1
735, 132, 2.8
736, 683, 9.4
737, 626, 4.3
738, 578, 2.3
739, 154, 8.7
740, 578, 4.3
741, 672, 8.8
742, 62, 2
743, 276, 9.8
744, 208, 1.8
745, 228, 6.3
746, 44, 9.5
747, 565, 0.5
748, 370, 4.2
749, 392, 9.8
750, 478, 7.2
751, 464, 5.3
752, 444, 9.7
753, 338, 4.7
754, 504, 1.6
755, 289, 1.2
756, 656, 7.7
757, 74, 5.3
758, 495, 3.2
759, 149, 3.5
760, 698, 0.7
761, 417, 4.9
762, 544, 6.1
763, 440, 3.4
764, 260, 2.5
765, 747, 2.8
766, 569, 6.3
767, 96, 1.5
768, 390, 8.1
769, 465, 8.5
770, 197, 0
771, 539, 0.8
772, 669, 4.9
773, 595, 7.9
774, 572, 1.6
775, 300, 8.5
776, 186, 6.5
777, 712, 3
778, 180, 9.2
779, 527, 2.9
780, 389, 5.2
781, 395, 6.6
782, 205, 9.5
783, 540, 2.8
784, 29, 4.7
785, 105, 2.6
786, 502, 6.2
787, 46, 2.9
788, 180, 0
789, 251, 9.7
790, 332, 7.5
791, 784, 4.4
792, 442, 2
793, 644, 1.8
794, 519, 9.4
795, 296, 3.4
796, 117, 0.8
797, 653, 6.2
798, 606, 8.6
799, 478, 3.2
800, 210, 0.7
801, 412, 3.4
802, 399, 9.6
803, 700, 8.4
804, 138, 2.4
805, 546, 6.5
806, 425, 1.6
807, 84, 4.3
808, 757, 8.7
809, 251, 0.2
810, 238, 6
811, 515, 7.9
812, 721, 4.1
813, 636, 2.4
814, 6, 3.5
815, 327, 6.2
816, 268, 7
817, 789, 6.3
818, 28, 1.1
819, 401, 1.5
820, 532, 3.4
821, 640, 9
822, 343, 9.3
823, 688, 3.9
824, 541, 9.4
825, 429, 1.3
826, 474, 8.2
827, 804, 7.5
828, 603, 3.8
829, 175, 5.1
830, 735, 1.1
831, 613, 6.8
832, 483, 1.3
833, 299, 9.9
834, 240, 3.5
835, 109, 6.4
836, 71, 4.6
837, 715, 7.2
838, 205, 4
839, 300, 2.3
840, 76, 5.7
841, 575, 9.3
842, 154, 8.1
843, 175, 1.4
844, 54, 7.1
845, 669, 9.6
846, 812, 8.3
847, 662, 6.7
848, 291, 0
849, 339, 7.4
850, 90, 3.3
851, 551, 5.7
852, 585, 4.9
853, 235, 2.3
854, 835, 9.2
855, 644, 2.9
856, 334, 3.5
857, 669, 4
858, 455, 4.3
859, 722, 3.9
860, 836, 2.5
861, 772, 5.3
862, 64, 5.2
863, 617, 5.7
864, 183, 8.7
865, 266, 4
866, 767, 2.6
867, 737, 0.5
868, 424, 7.8
869, 165, 6.9
870, 588, 2.7
871, 21, 2
872, 828, 2.1
873, 770, 8.3
874, 95, 6.7
875, 542, 8.2
876, 39, 1.1
877, 867, 5.3
878, 490, 0.8
879, 562, 6.8
880, 620, 9.8
881, 699, 6.8
882, 411, 0.9
883, 297, 0.3
884, 109, 5.4
885, 261, 5.7
886, 849, 2.3
887, 447, 9.6
888, 376, 4.2
889, 868, 1.2
890, 827, 5.5
891, 872, 5.4
892, 75, 3.4
893, 737, 8.1
894, 433, 7.3
895, 186, 3.8
896, 878, 1.3
897, 622, 9.9
898, 791, 8.4
899, 187, 6.1
900, 671, 8
901, 643, 2.3
902, 226, 0
903, 317, 0
904, 596, 5.2
905, 417, 0.4
906, 420, 5.9
907, 152, 2.5
908, 750, 1.7
909, 280, 3.6
910, 96, 6
911, 867, 1.4
912, 161, 3.7
913, 556, 4.8
914, 435, 2
915, 435, 6.3
916, 634, 3.2
917, 776, 0.4
918, 906, 5.8
919, 562, 2.7
920, 351, 6.8
921, 126, 6.9
922, 314, 4.1
923, 383, 7.4
924, 518, 0.5
925, 565, 0.1
926, 215, 8.9
927, 640, 9
928, 830, 3.2
929, 595, 9.9
930, 802, 0
931, 279, 5.7
932, 817, 4.8
933, 811, 1.7
934, 273, 6.9
935, 673, 6.9
936, 931, 2.8
937, 339, 1.8
938, 654, 8.5
939, 243, 8
940, 673, 5.4
941, 361, 0.7
942, 304, 0
943, 826, 2.1
944, 600, 8.8
945, 50, 9
946, 507, 3.4
947, 642, 2.5
948, 270, 6.1
949, 5, 4.2
950, 863, 9.1
951, 184, 2
952, 394, 5.4
953, 415, 4.2
954, 844, 3
955, 685, 3.4
956, 370, 0.8
957, 498, 8
958, 686, 4.4
959, 711, 4.5
960, 607, 2.2
961, 315, 2.5
962, 858, 3.5
963, 157, 9.2
964, 698, 9.6
965, 535, 3
966, 165, 4.9
967, 946, 1.2
968, 774, 8.9
969, 256, 4.8
970, 142, 2.8
971, 881, 5.7
972, 893, 7.6
973, 125, 9.7
974, 300, 3.9
975, 939, 0.5
976, 634, 8.2
977, 958, 2.3
978, 741, 3.6
979, 943, 1.7
980, 499, 5.3
981, 107, 2.4
982, 394, 5
983, 389, 1
984, 158, 4.2
985, 23, 6.4
986, 893, 4.1
987, 922, 1.1
988, 248, 1
989, 64, 9
990, 687, 5.5
991, 287, 1.6
992, 983, 8.1
993, 41, 5.8
994, 583, 0.6
995, 451, 0.1
996, 922, 7.4
997, 640, 6.5
998, 810, 6.6
999, 467, 6.9
134, 833, 3.6
127, 906, 9.9
697, 316, 6
839, 570, 6.7
986, 486, 0.8
767, 277, 6.6
136, 435, 9.3
37, 946, 1.9
367, 212, 9.6
934, 540, 1.7
95, 674, 5
631, 802, 0.8
630, 851, 2.5
242, 690, 4.7
161, 676, 3.4
169, 795, 6.3
135, 931, 5.1
180, 320, 9.7
900, 688, 6.1
996, 974, 0.1
114, 69, 2.8
416, 52, 8.2
625, 682, 3.3
502, 277, 2.3
949, 790, 5.1
235, 960, 4.6
799, 447, 2.9
502, 628, 4.9
799, 528, 8.9
13, 876, 6.3
766, 990, 8.4
194, 759, 3.6
776, 384, 7.1
209, 238, 0
684, 539, 9
835, 775, 5
781, 926, 5
362, 428, 7.8
264, 579, 5.8
853, 944, 3.4
769, 711, 7.7
105, 257, 3.6
142, 34, 7.2
565, 595, 1
265, 632, 4.9
107, 467, 7.6
558, 601, 0.2
160, 963, 8.2
38, 227, 1.4
796, 433, 5.8
430, 554, 6.9
407, 659, 2.7
495, 801, 1.3
967, 718, 6
29, 335, 9.2
631, 443, 1.2
7, 353, 1.3
662, 513, 2.8
96, 551, 5.6
110, 699, 4.1
69, 481, 9.5
90, 889, 5.4
369, 736, 0.8
682, 704, 2.6
295, 733, 1.4
187, 364, 5.7
251, 724, 1
564, 738, 2.3
193, 834, 2.6
401, 945, 2.5
394, 366, 0.6
589, 456, 4.7
795, 826, 8.4
803, 860, 4
882, 155, 7.3
648, 695, 9
505, 946, 6.6
67, 863, 0.4
790, 408, 9
768, 161, 3.5
93, 555, 0.1
251, 144, 1
651, 291, 8.8
435, 447, 4.8
275, 681, 5.6
200, 329, 5.1
842, 834, 4.9
560, 901, 6.4
664, 43, 7.2
955, 811, 3.3
542, 256, 4
496, 859, 3.6
258, 510, 2.8
846, 297, 7.5
294, 924, 5.6
250, 125, 8.5
253, 319, 7.1
555, 880, 2.4
719, 896, 6.7
644, 203, 3
729, 746, 8.6
370, 594, 4.5
858, 852, 0.8
286, 698, 0.5
513, 344, 3
421, 947, 0.7
658, 200, 7.8
729, 107, 5.8
53, 179, 0.7
772, 175, 1
302, 904, 0.8
440, 626, 0.2
86, 485, 0.6
946, 123, 0.4
751, 637, 0.1
833, 410, 4.8
392, 69, 0
271, 150, 0.8
381, 556, 8.7
388, 328, 6.2
951, 983, 1.8
259, 423, 4.5
514, 861, 8.2
972, 807, 5.7
129, 911, 9.4
630, 744, 5.7
78, 137, 2.6
78, 760, 2.8
186, 141, 8.4
825, 882, 6.5
639, 833, 4.8
358, 444, 2.3
55, 310, 8.5
589, 283, 4.4
246, 412, 5.5
893, 42, 0
950, 120, 8.9
428, 550, 4.9
56, 737, 4.2
241, 914, 2.4
458, 554, 0.9
658, 264, 5.4
281, 319, 1.6
118, 260, 9.9
763, 506, 6.3
318, 399, 0.5
970, 701, 7.7
111, 129, 2.8
12, 186, 1.7
55, 779, 8.3
979, 589, 3.7
89, 247, 5.3
995, 880, 2.4
211, 999, 8.4
711, 114, 4.3
326, 784, 4.2
632, 107, 9.6
761, 218, 2.5
441, 231, 6.3
210, 286, 9.4
894, 617, 3.5
483, 58, 8.2
337, 53, 1.5
213, 617, 1.4
998, 680, 8
641, 6, 6.4
35, 638, 2.3
131, 752, 4.2
709, 545, 2.5
824, 756, 6.3
71, 2, 8
906, 485, 9.1
989, 174, 4.4
656, 388, 6.1
970, 738, 4.1
102, 379, 4.8
18, 766, 3.8
42, 250, 4.2
284, 959, 8.8
461, 135, 9.6
924, 206, 9.8
356, 113, 3.5
847, 454, 6.2
744, 110, 0.2
257, 432, 4
451, 886, 7.1
299, 904, 8.9
489, 946, 3.9
784, 582, 5
272, 43, 8.6
868, 319, 9.2
818, 676, 5.7
253, 875, 6.3
215, 619, 2.5
269, 877, 0.9
709, 680, 9.5
232, 331, 0
522, 820, 4.6
413, 956, 2.9
264, 228, 2.4
250, 448, 4.4
794, 618, 7.2
804, 872, 4.7
267, 439, 1.9
193, 709, 4.8
254, 770, 2.8
850, 355, 5.9
350, 229, 3.1
148, 642, 8.8
177, 906, 6.8
954, 508, 6.9
698, 303, 8.7
470, 107, 1.1
469, 726, 0.3
440, 271, 6.4
288, 526, 8.6
816, 376, 4.1
27, 78, 2.2
59, 226, 6.5
399, 404, 2.3
967, 358, 3.2
688, 408, 8.7
676, 230, 9.4
239, 51, 7.2
242, 492, 4.4
306, 780, 2.2
493, 949, 9.8
386, 328, 7.6
509, 387, 0.2
626, 138, 5.8
649, 458, 6.8
181, 146, 2.8
720, 174, 5.8
14, 414, 6.2
739, 656, 5.4
735, 315, 3.4
257, 160, 3.5
507, 546, 6.4
483, 55, 0.3
37, 33, 4.2
348, 683, 0
368, 216, 4.6
149, 937, 2.1
159, 303, 8.7
221, 42, 4.3
775, 777, 1
462, 386, 7
97, 893, 1.7
61, 728, 2.4
117, 766, 5.8
959, 466, 9.3
259, 186, 0.9
57, 335, 4.6
30, 495, 0.2
417, 716, 9.6
813, 492, 7.4
523, 306, 6
394, 403, 0.6
163, 817, 3.4
339, 934, 5.2
549, 893, 1.8
442, 504, 0.5
904, 913, 9.2
302, 944, 8.7
4, 361, 5.6
101, 526, 4.8
327, 50, 5.4
939, 796, 0.9
445, 311, 2.6
680, 2, 1.2
32, 552, 5.7
203, 346, 6.1
560, 250, 2.7
252, 553, 7.1
440, 557, 8.4
48, 10, 1.1
148, 337, 1.3
554, 277, 6.1
363, 74, 2.4
342, 754, 2.6
254, 139, 7.8
764, 342, 2.5
777, 902, 2.7
704, 154, 8
575, 946, 9
160, 994, 0
623, 142, 9
488, 696, 1.9
149, 412, 9.3
825, 754, 4.8
151, 360, 8.7
382, 124, 2.9
959, 902, 8.3
786, 606, 3.7
167, 534, 3.6
809, 46, 3
109, 669, 2.5
451, 157, 7.3
70, 658, 8.5
764, 483, 3.9
564, 986, 5.2
503, 368, 7.6
432, 327, 3
967, 466, 3.7
304, 633, 7.1
292, 794, 1.7
275, 255, 3.8
400, 707, 4.7
573, 777, 5.7
159, 893, 9.2
850, 457, 7.8
902, 960, 4.7
431, 744, 2.6
861, 711, 9.2
898, 368, 7.7
821, 660, 7.1
790, 287, 7.9
780, 687, 8.6
279, 613, 6.3
436, 124, 0.9
428, 974, 6.6
759, 229, 2.7
458, 660, 7.1
484, 873, 3.5
329, 124, 0.3
158, 945, 1.5
782, 88, 0.3
661, 868, 4.2
247, 500, 5.5
962, 936, 3.1
571, 717, 5.8
638, 476, 8.7
17, 934, 9.9
140, 770, 7.2
327, 451, 9.6
882, 610, 9.4
98, 392, 8.2
953, 53, 0.2
847, 652, 5.4
355, 614, 9.1
986, 538, 6
944, 528, 8.8
483, 545, 2.2
34, 37, 4.4
107, 365, 9.6
655, 247, 0.6
149, 697, 5
83, 2, 0.3
238, 850, 5.5
892, 205, 2.1
835, 191, 1.1
495, 488, 3.9
983, 323, 3.6
757, 358, 2.6
302, 465, 9.1
650, 120, 9
608, 622, 8.8
958, 57, 9
361, 295, 4
768, 540, 9.7
141, 375, 4.1
53, 223, 2.9
844, 558, 5.2
533, 316, 1
259, 970, 2.7
350, 972, 0
40, 580, 7.4
780, 538, 3.1
171, 899, 7.9
763, 19, 1.9
561, 512, 4.6
254, 917, 6.9
83, 762, 2.8
587, 295, 9.6
450, 554, 6.6
129, 256, 3.8
929, 296, 1.8
55, 429, 0.8
887, 600, 0.7
718, 715, 7.8
737, 628, 9
835, 882, 0.8
805, 317, 2.2
685, 257, 6.9
881, 707, 2.3
399, 836, 7.9
889, 118, 2.7
607, 173, 5.6
215, 412, 0.8
74, 130, 7.6
304, 219, 5.6
46, 55, 3.9
706, 212, 0.8
128, 897, 6.5
197, 130, 7.2
172, 529, 6.1
403, 418, 3.1
283, 377, 5.6
591, 944, 6.9
852, 370, 5.1
828, 26, 2.3
784, 72, 3
975, 779, 9.4
484, 259, 9.1
249, 809, 7.3
74, 981, 0.2
735, 737, 7.2
866, 20, 0.1
874, 611, 4.5
943, 815, 6.7
847, 643, 9.3
322, 780, 1.7
204, 107, 9.6
298, 591, 0.8
289, 193, 1.7
762, 267, 5
116, 354, 8.7
240, 572, 5.9
741, 446, 2.3
538, 742, 3.8
705, 589, 8.2
250, 263, 1.4
867, 467, 2.1
616, 765, 6.5
624, 406, 5.8
441, 520, 2.5
591, 988, 7.9
